Tag;Equipamento
00261;Válvula solenoide 1
00262;Válvula solenoide 2
00263;Válvula solenoide 3
00264;Válvula solenoide 4
00265;Válvula solenoide 5
00266;Válvula solenoide 6
00267;Válvula solenoide 7
00268;Válvula solenoide 8
00269;Válvula solenoide 9
00270;Válvula solenoide 10
00271;Exaustor caldeira
00272;Motor exaustor
00273;Válvula de segurança 8
00274;Válvula de segurança 8.4
00275;Motobomba
00276;Motobomba caldeira
00277;Injetor
00278;Filtro de entrada de água BIG 20
00279;Tanque caldeira
00280;Compressor
00281;Painel elétrico caldeira
00282;Bomba dosadora sulfato de alumínio
00283;Bomba dosadora soda
00284;Bomba submersiva geral
00285;Peneira rotativa
00286;Motor peneira
00287;Bomba elevação submersa
00288;Soprador dos difusores
00289;Painel elétrico
00290;Painel de distribuição ETE
00291;Painel de comando
00292;Soprador de ar reator MBBR
00293;Painel de comando principal ETE
00294;Bomba dosadora polímero
00295;Bomba dosadora anti-espumante
00296;Motor agitador
00297;Redutor agitador
00298;Reator MBBR
00299;Decantador fisico quimico
00300;Caixa da água 10000L
00301;Motobomba caixa da água
00302;Filtro de areia 1
00303;Filtro de areia 2
00304;Filtro 1
00305;Filtro 2
00306;Filtro 3
00307;Filtro 4
00308;Armário  4 portas
00309;Armário 12 portas
00310;Armário 16 portas
00311;Armário 16 portas
00312;Armário 16 portas
00313;Armário 16 portas
00314;Armário 8 portas
00315;Armário 8 portas
00316;Armário 8 portas
00317;Armário 12 portas
00318;Armário 16 portas
00319;Armário 16 portas
00320;Ventilador 1
00321;Ventilador 2
00322;Ventilador 3
00323;Ventilador 4
00324;Ventilador
00326;Bebedouro
00327;Microondas
00328;Fogão
00329;Geladeira
00330;Tanquinho
00331;Ar condicionado
00332;Ar condicionado
00333;Ar condicionado
00334;Frigobar
00335;Bebedouro
00336;TV
00337;Ar condicionado
00338;TV
00339;Ar condicionado
00340;Quadro de distribuição energia
00341;Compressor de ar
00342;Moldadora de bifinho
00343;Esmeril
00344;Serra circular
00345;Furadeira de bancada
00346;Máquina de solda
00347;Parafusadeira furadeira
00348;Lixadeira 115mm
00349;Lixadeira 115mm
00350;Lixadeira Lixadeira
00351;Lixadeira Martelete
00352;Furadeira manual
00353;Atomizador/pulverizador
00354;Roçadeira
